순번,행정구역(구),행정구역(동),지번,교차로,구분,용도
1,흥덕구,복대동,296-5 도,금호어울림104동3,보행등,일반신호등
2,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
3,흥덕구,복대동,296-5 도,금호어울림104동3,보행등,일반신호등
4,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
5,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
6,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
7,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
8,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
9,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
10,흥덕구,복대동,3370 도,금호어울림104동3,보행등,일반신호등
11,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
12,흥덕구,복대동,3370 도,금호어울림104동3,차량등,일반신호등
13,흥덕구,복대동,3376 도,,경보등,일반신호등
14,흥덕구,복대동,3376 도,,경보등,일반신호등
15,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
16,흥덕구,복대동,3370 도,청주자동차학원3,보행등,일반신호등
17,흥덕구,복대동,3370 도,청주자동차학원3,보행등,일반신호등
18,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
19,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
20,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
21,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
22,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
23,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
24,흥덕구,복대동,3351도,청주자동차학원3,보행등,일반신호등
25,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
26,흥덕구,복대동,3351도,청주자동차학원3,차량등,일반신호등
27,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
28,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
29,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
30,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
31,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
32,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
33,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
34,흥덕구,복대동,3351도,직지초교후문3,보행등,일반신호등
35,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
36,흥덕구,복대동,3351도,직지초교후문3,차량등,일반신호등
37,흥덕구,복대동,3372 도,복대어울림후문4,보행등,일반신호등
38,흥덕구,복대동,275-61 전,복대어울림후문4,보행등,일반신호등
39,흥덕구,복대동,3372 도,복대어울림후문4,보행등,일반신호등
40,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
41,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
42,흥덕구,복대동,3372 도,복대어울림후문4,차량등,일반신호등
43,흥덕구,송정동,424 도,복대어울림후문4,보행등,일반신호등
44,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
45,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
46,흥덕구,송정동,424 도,복대어울림후문4,차량등,일반신호등
47,흥덕구,송정동,424 도,복대어울림후문4,보행등,일반신호등
48,흥덕구,복대동,275-61 전,복대어울림후문4,보행등,일반신호등
49,흥덕구,복대동,3373 도,복대어울림후문4,차량등,일반신호등
50,흥덕구,복대동,275-61 전,복대어울림후문4,차량등,일반신호등
51,흥덕구,복대동,275-61 전,복대어울림후문4,차량등,일반신호등
52,흥덕구,복대동,271-13 도,복대어울림1단지3,차량등,일반신호등
53,흥덕구,복대동,271-13 도,복대어울림1단지3,차량등,일반신호등
54,흥덕구,복대동,3373 도,복대어울림후문4,보행등,일반신호등
55,흥덕구,복대동,3373 도,복대어울림후문4,보행등,일반신호등
56,흥덕구,복대동,3373 도,복대어울림후문4,차량등,일반신호등
57,흥덕구,복대동,3373 도,복대어울림후문4,차량등,일반신호등
58,흥덕구,복대동,3373 도,복대어울림후문4,차량등,일반신호등
59,흥덕구,복대동,3373 도,복대어울림1단지3,차량등,일반신호등
60,흥덕구,복대동,3373 도,복대어울림1단지3,차량등,일반신호등
61,흥덕구,복대동,3373 도,복대어울림1단지3,보행등,일반신호등
62,흥덕구,복대동,271-13 도,복대어울림1단지3,보행등,일반신호등
63,흥덕구,복대동,271-13 도,복대어울림1단지3,차량등,일반신호등
64,흥덕구,복대동,271-13 도,복대어울림1단지3,차량등,일반신호등
65,흥덕구,석소동,98-3 도,석소동입구,보행등,일반신호등
66,흥덕구,석소동,98-3 도,석소동입구,보행등,일반신호등
67,흥덕구,석소동,98-3 도,석소동입구,차량등,일반신호등
68,흥덕구,석소동,98-3 도,석소동입구,차량등,일반신호등
69,청원구,율량동,1894도,사천교4,보행등,일반신호등
70,청원구,율량동,1902 o,사천교4,보행등,일반신호등
71,흥덕구,가경동,1527도,경덕4,보행등,일반신호등
72,흥덕구,가경동,1519도,경덕4,보행등,일반신호등
73,흥덕구,가경동,1527도,경덕4,차량등,일반신호등
74,흥덕구,가경동,1527도,경덕4,차량등,일반신호등
75,흥덕구,가경동,1527도,경덕4,차량등,일반신호등
76,흥덕구,가경동,1527도,경덕4,보행등,일반신호등
77,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
78,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
79,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
80,흥덕구,가경동,1519도,경덕4,보행등,일반신호등
81,흥덕구,가경동,2132 도,경덕4,보행등,일반신호등
82,흥덕구,가경동,2132 도,경덕4,차량등,일반신호등
83,흥덕구,가경동,2132 도,경덕4,차량등,일반신호등
84,흥덕구,가경동,2132 도,경덕4,차량등,일반신호등
85,흥덕구,가경동,1519도,경덕4,보행등,일반신호등
86,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
87,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
88,흥덕구,가경동,1519도,경덕4,차량등,일반신호등
89,흥덕구,향정동,102-9 도,향정3,보행등,일반신호등
90,흥덕구,향정동,102-9 도,향정3,보행등,일반신호등
91,흥덕구,복대동,966도,문영주산부인과(단),보행등,일반신호등
92,흥덕구,복대동,966도,문영주산부인과(단),차량등,일반신호등
93,흥덕구,복대동,966도,문영주산부인과(단),차량등,일반신호등
94,흥덕구,복대동,966도,문영주산부인과(단),보행등,일반신호등
95,흥덕구,복대동,966도,문영주산부인과(단),차량등,일반신호등
96,흥덕구,복대동,966도,문영주산부인과(단),차량등,일반신호등
97,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
98,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
99,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
100,서원구,사직동,270도,사직두산위브4,보행등,일반신호등
101,서원구,사직동,270도,사직두산위브4,보행등,일반신호등
102,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
103,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
104,서원구,사직동,270도,사직두산위브4,차량등,일반신호등
105,서원구,사직동,239-40 도,,경보등,일반신호등
106,서원구,사직동,239-40 도,,경보등,일반신호등
107,서원구,사직동,239-40 도,,경보등,일반신호등
108,서원구,사직동,274도,,경보등,일반신호등
109,서원구,사직동,274도,,경보등,일반신호등
110,서원구,사직동,274도,,경보등,일반신호등
111,서원구,사직동,274도,,경보등,일반신호등
112,서원구,사직동,274도,,경보등,일반신호등
113,청원구,사천동,629-6도,황금주유소(단),보행등,일반신호등
114,상당구,방서동,234-3도,방서한씨회관3,차량등,일반신호등
115,상당구,방서동,46-1 도,문화자동차학원3,차량등,일반신호등
116,상당구,방서동,588-29 도,문화자동차학원3,차량등,일반신호등
117,상당구,용암동,2125도,대머리공원4,차량등,일반신호등
118,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
119,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
120,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
121,상당구,용정동,1110-2 도,용암지하차도4,차량등,일반신호등
122,상당구,용정동,1110-2 도,용암지하차도4,차량등,일반신호등
123,청원구,주중동,847도,,경보등,일반신호등
124,청원구,주중동,847도,,경보등,일반신호등
125,청원구,주중동,847도,,경보등,일반신호등
126,청원구,주중동,847도,,경보등,일반신호등
127,청원구,주중동,847도,,경보등,일반신호등
128,청원구,주중동,847도,,경보등,일반신호등
129,청원구,주중동,847도,,경보등,일반신호등
130,청원구,주중동,847도,,경보등,일반신호등
131,청원구,주중동,847도,,경보등,일반신호등
132,청원구,주중동,847도,,경보등,일반신호등
133,청원구,주중동,847도,,경보등,일반신호등
134,청원구,주중동,847도,,경보등,일반신호등
135,청원구,외남동,510-4도,오근장역입구3,차량등,일반신호등
136,청원구,외남동,225-1도,오근장역입구3,차량등,일반신호등
137,청원구,외남동,225-1도,오근장역입구3,차량등,일반신호등
138,청원구,외남동,510-4도,오근장역입구3,차량등,일반신호등
139,청원구,외남동,225-1도,오근장역입구3,차량등,일반신호등
140,청원구,외남동,510-4도,오근장역입구3,차량등,일반신호등
141,청원구,외남동,510-4도,오근장역입구3,차량등,일반신호등
142,청원구,외남동,510-4도,오근장역입구3,차량등,일반신호등
143,청원구,외남동,521도,,경보등,일반신호등
144,청원구,외남동,521도,,경보등,일반신호등
145,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
146,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
147,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
148,청원구,주중동,산17-3도,오근장동사무소3,보행등,일반신호등
149,청원구,주중동,847도,오근장동사무소3,보행등,일반신호등
150,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
151,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
152,청원구,주중동,847도,오근장동사무소3,차량등,일반신호등
153,청원구,외평동,695-4도,공항4,보행등,일반신호등
154,청원구,외하동,480-2도,공항4,차량등,일반신호등
155,청원구,외하동,480-2도,공항4,차량등,일반신호등
156,청원구,외평동,695-3도,공항4,차량등,일반신호등
157,청원구,외평동,791구,공항4,보행등,일반신호등
158,청원구,외평동,791구,공항4,보행등,일반신호등
159,청원구,외평동,695-4도,공항4,차량등,일반신호등
160,청원구,외평동,695-4도,공항4,차량등,일반신호등
161,청원구,외평동,695-4도,공항4,보행등,일반신호등
162,청원구,외하동,513-2 도,공항4,보행등,일반신호등
163,청원구,외하동,470-2도,공항4,보행등,일반신호등
164,청원구,외하동,513-2 도,공항4,차량등,일반신호등
165,청원구,외하동,513-2 도,공항4,차량등,일반신호등
166,청원구,외하동,513-2 도,공항4,보행등,일반신호등
167,청원구,외하동,513-2 도,공항4,보행등,일반신호등
168,청원구,외평동,695-3도,공항4,차량등,일반신호등
169,상당구,용암동,2892도,용정3교4,보행등,일반신호등
170,상당구,금천동,469도,금천굿모닝빌딩4,보행등,일반신호등
171,청원구,주성동,276-3 도,,경보등,일반신호등
172,청원구,주성동,276-3 도,,경보등,일반신호등
173,청원구,주성동,276-3 도,,경보등,일반신호등
174,청원구,주성동,276-3 도,,경보등,일반신호등
175,청원구,율량동,산69-1도,,경보등,일반신호등
176,청원구,율량동,산69-1도,,경보등,일반신호등
177,청원구,율량동,산69-1도,,경보등,일반신호등
178,상당구,금천동,469도,금천굿모닝빌딩4,보행등,일반신호등
179,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
180,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
181,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
182,상당구,금천동,469도,금천굿모닝빌딩4,보행등,일반신호등
183,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
184,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
185,상당구,금천동,469도,금천굿모닝빌딩4,차량등,일반신호등
186,상당구,금천동,469도,금천굿모닝빌딩4,보행등,일반신호등
187,상당구,금천동,472도,금천장자부영5차3,보행등,일반신호등
188,상당구,금천동,472도,금천장자부영5차3,보행등,일반신호등
189,상당구,금천동,469도,금천동중4,차량등,일반신호등
190,상당구,금천동,469도,금천동중4,차량등,일반신호등
191,상당구,금천동,469도,금천동중4,차량등,일반신호등
192,상당구,금천동,469도,금천동중4,보행등,일반신호등
193,상당구,금천동,469도,금천동중4,보행등,일반신호등
194,상당구,금천동,469도,금천동중4,차량등,일반신호등
195,상당구,금천동,469도,금천동중4,차량등,일반신호등
196,상당구,금천동,469도,금천동중4,차량등,일반신호등
197,상당구,금천동,469도,금천동중4,차량등,일반신호등
198,상당구,금천동,469도,금천동중4,차량등,일반신호등
199,상당구,금천동,207-2 도,금천동중4,차량등,일반신호등
200,상당구,금천동,472도,금천동중4,차량등,일반신호등
201,상당구,금천동,472도,금천동중4,차량등,일반신호등
202,상당구,금천동,472도,금천동중4,차량등,일반신호등
203,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
204,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
205,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
206,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
207,상당구,금천동,472도,금천장자부영5차3,보행등,일반신호등
208,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
209,상당구,금천동,472도,금천장자부영5차3,차량등,일반신호등
210,상당구,금천동,472도,금천장자부영5차3,보행등,일반신호등
211,상당구,금천동,472도,금천장자부영5차3,보행등,일반신호등
212,상당구,용담동,444도,금천장자부영5차3,보행등,일반신호등
213,상당구,금천동,469도,금천농협(단),차량등,일반신호등
214,상당구,금천동,469도,금천농협(단),차량등,일반신호등
215,상당구,금천동,469도,금천농협(단),보행등,일반신호등
216,상당구,금천동,469도,금천농협(단),보행등,일반신호등
217,상당구,금천동,469도,금천농협(단),차량등,일반신호등
218,상당구,금천동,469도,금천농협(단),차량등,일반신호등
219,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
220,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
221,상당구,용담동,163-9 도,금천초양교회4,보행등,일반신호등
222,상당구,용담동,444도,금천초양교회4,보행등,일반신호등
223,상당구,용담동,444도,금천초양교회4,보행등,일반신호등
224,상당구,용담동,443 도,금천초양교회4,보행등,일반신호등
225,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
226,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
227,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
228,상당구,용담동,324-88 전,금천초양교회4,보행등,일반신호등
229,상당구,용담동,443 도,금천초양교회4,보행등,일반신호등
230,상당구,용담동,443 도,금천초양교회4,보행등,일반신호등
231,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
232,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
233,상당구,용담동,443 도,금천초양교회4,차량등,일반신호등
234,상당구,용암동,2881o,용정3교4,보행등,일반신호등
235,상당구,용암동,2881o,용정3교4,차량등,일반신호등
236,상당구,용암동,2881o,용정3교4,차량등,일반신호등
237,상당구,용암동,2881o,용정3교4,차량등,일반신호등
238,상당구,용암동,2892도,용정3교4,차량등,일반신호등
239,상당구,용암동,2892도,용정3교4,차량등,일반신호등
240,상당구,용정동,283-5도,용정선프라자3,차량등,일반신호등
241,상당구,용정동,283-5도,용정선프라자3,차량등,일반신호등
242,상당구,용정동,283-5도,용정선프라자3,차량등,일반신호등
243,상당구,용정동,532-5 o,김수녕양궁장5,보행등,일반신호등
244,상당구,용정동,532-5 o,김수녕양궁장5,보행등,일반신호등
245,상당구,용정동,532-59 도,김수녕양궁장5,보행등,일반신호등
246,상당구,용정동,399-1 도,김수녕양궁장5,차량등,일반신호등
247,상당구,용정동,1094 도,용정선프라자3,보행등,일반신호등
248,상당구,용정동,1094 도,용정선프라자3,보행등,일반신호등
249,상당구,용정동,1097 도,용정선프라자3,보행등,일반신호등
250,상당구,용정동,1097 도,용정선프라자3,차량등,일반신호등
251,상당구,용정동,1097 도,용정선프라자3,차량등,일반신호등
252,상당구,용정동,1097 도,용정선프라자3,차량등,일반신호등
253,상당구,용정동,1097 도,용정선프라자3,보행등,일반신호등
254,상당구,용암동,2882도,용성초교후문4,보행등,안전신호등
255,상당구,용암동,2882도,용성초교후문4,차량등,안전신호등
256,상당구,용암동,2882도,용성초교후문4,차량등,안전신호등
257,상당구,용암동,2882도,용성초교후문4,차량등,안전신호등
258,상당구,용암동,2882도,용성초교후문4,보행등,안전신호등
259,상당구,용암동,2879도,용성초교후문4,보행등,안전신호등
260,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
261,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
262,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
263,상당구,용암동,2879도,용성초교후문4,보행등,안전신호등
264,상당구,용암동,2879도,용성초교후문4,보행등,안전신호등
265,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
266,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
267,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
268,상당구,용암동,2879도,용성초교후문4,보행등,안전신호등
269,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
270,상당구,용암동,2879도,용성초교후문4,차량등,안전신호등
271,상당구,용암동,2880o,용성초교후문4,차량등,안전신호등
272,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
273,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
274,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
275,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
276,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
277,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
278,상당구,금천동,469도,혜원학교입구3,보행등,일반신호등
279,상당구,금천동,469도,혜원학교입구3,보행등,일반신호등
280,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
281,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
282,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
283,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
284,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
285,상당구,금천동,468도,혜원학교입구3,보행등,일반신호등
286,상당구,금천동,468도,혜원학교입구3,보행등,일반신호등
287,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
288,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
289,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
290,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
291,상당구,금천동,469도,혜원학교입구3,차량등,일반신호등
292,상당구,금천동,469도,혜원학교입구3,보행등,일반신호등
293,상당구,금천동,469도,혜원학교입구3,보행등,일반신호등
294,상당구,용정동,1090도,육모정4,보행등,일반신호등
295,상당구,금천동,464도,육모정4,보행등,일반신호등
296,상당구,용정동,1087도,육모정4,차량등,일반신호등
297,상당구,용정동,1087도,육모정4,차량등,일반신호등
298,상당구,용정동,1087도,육모정4,차량등,일반신호등
299,상당구,용정동,1086도,육모정4,차량등,일반신호등
300,상당구,용정동,1086도,육모정4,차량등,일반신호등
301,상당구,용정동,1086도,육모정4,차량등,일반신호등
302,상당구,금천동,464도,육모정4,차량등,일반신호등
303,상당구,금천동,464도,육모정4,차량등,일반신호등
304,상당구,금천동,464도,육모정4,차량등,일반신호등
305,상당구,용정동,1090도,육모정4,차량등,일반신호등
306,상당구,용정동,1090도,육모정4,차량등,일반신호등
307,상당구,용정동,1090도,육모정4,차량등,일반신호등
308,상당구,금천동,464도,육모정4,보행등,일반신호등
309,상당구,용정동,1087도,육모정4,보행등,일반신호등
310,상당구,용정동,1086도,육모정4,보행등,일반신호등
311,상당구,용정동,1087도,육모정4,보행등,일반신호등
312,상당구,용정동,1086도,육모정4,보행등,일반신호등
313,상당구,금천동,416도,육모정4,보행등,일반신호등
314,상당구,용정동,399-1 도,김수녕양궁장5,보행등,일반신호등
315,상당구,용정동,1076도,금천부영8단지4,보행등,일반신호등
316,상당구,금천동,471도,금천부영8단지4,차량등,일반신호등
317,상당구,용정동,1076도,금천부영8단지4,보행등,일반신호등
318,상당구,용정동,1076도,금천부영8단지4,차량등,일반신호등
319,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
320,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
321,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
322,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
323,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
324,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
325,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
326,상당구,금천동,469도,장자부영7단지3,차량등,일반신호등
327,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
328,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
329,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
330,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
331,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
332,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
333,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
334,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
335,상당구,금천동,472도,장자현대아파트4,보행등,일반신호등
336,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
337,상당구,금천동,472도,장자현대아파트4,차량등,일반신호등
338,상당구,금천동,471도,동주초교3,보행등,안전신호등
339,상당구,금천동,470도,동주초교3,보행등,안전신호등
340,상당구,금천동,471도,동주초교3,보행등,안전신호등
341,상당구,금천동,471도,동주초교3,차량등,안전신호등
342,상당구,금천동,471도,동주초교3,차량등,안전신호등
343,상당구,금천동,471도,동주초교3,차량등,안전신호등
344,상당구,금천동,471도,동주초교3,보행등,안전신호등
345,상당구,금천동,471도,동주초교3,차량등,안전신호등
346,상당구,금천동,471도,동주초교3,차량등,안전신호등
347,상당구,금천동,471도,동주초교3,차량등,안전신호등
348,상당구,금천동,471도,동주초교3,차량등,안전신호등
349,상당구,금천동,471도,동주초교3,차량등,안전신호등
350,상당구,용담동,441 도,명암저수지입구4,보행등,일반신호등
351,상당구,용담동,441 도,명암저수지입구4,보행등,일반신호등
352,상당구,용담동,441 도,명암저수지입구4,보행등,일반신호등
353,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
354,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
355,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
356,상당구,용담동,440도,주성고교3,보행등,일반신호등
357,상당구,용담동,440도,주성고교3,차량등,일반신호등
358,상당구,용담동,440도,주성고교3,차량등,일반신호등
359,상당구,용담동,440도,주성고교3,차량등,일반신호등
360,상당구,용담동,440도,주성고교3,보행등,일반신호등
361,상당구,용담동,440도,주성고교3,차량등,일반신호등
362,상당구,용담동,440도,주성고교3,차량등,일반신호등
363,상당구,용담동,440도,주성고교3,차량등,일반신호등
364,상당구,금천동,472도,산성초교4,차량등,안전신호등
365,상당구,금천동,472도,산성초교4,차량등,안전신호등
366,상당구,금천동,472도,산성초교4,차량등,안전신호등
367,상당구,용담동,440도,산성초교4,차량등,안전신호등
368,상당구,용담동,440도,산성초교4,차량등,안전신호등
369,상당구,용담동,440도,산성초교4,차량등,안전신호등
370,상당구,용담동,441 도,명암저수지입구4,보행등,일반신호등
371,상당구,용담동,442도,명암저수지입구4,보행등,일반신호등
372,상당구,용담동,440도,명암저수지입구4,보행등,일반신호등
373,상당구,용담동,440도,명암저수지입구4,차량등,일반신호등
374,상당구,용담동,440도,명암저수지입구4,차량등,일반신호등
375,상당구,용담동,440도,명암저수지입구4,차량등,일반신호등
376,상당구,용담동,440도,명암저수지입구4,보행등,일반신호등
377,상당구,용담동,441 도,명암저수지입구4,보행등,일반신호등
378,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
379,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
380,상당구,용담동,441 도,명암저수지입구4,차량등,일반신호등
381,상당구,용담동,442도,명암저수지입구4,차량등,일반신호등
382,상당구,용담동,442도,명암저수지입구4,차량등,일반신호등
383,상당구,용담동,442도,명암저수지입구4,차량등,일반신호등
384,상당구,금천동,471도,산성초교4,차량등,안전신호등
385,상당구,금천동,471도,산성초교4,차량등,안전신호등
386,상당구,금천동,471도,산성초교4,차량등,안전신호등
387,상당구,명암동,156-4도,명암타워4,차량등,일반신호등
388,상당구,명암동,73-19도,박물관4,보행등,일반신호등
389,상당구,명암동,73-24답,박물관4,보행등,일반신호등
390,상당구,명암동,183-2o,박물관4,차량등,일반신호등
391,상당구,명암동,73-19도,박물관4,차량등,일반신호등
392,상당구,명암동,183-2o,박물관4,차량등,일반신호등
393,상당구,명암동,183-2o,박물관4,차량등,일반신호등
394,상당구,명암동,183o,박물관4,보행등,일반신호등
395,상당구,명암동,183o,박물관4,차량등,일반신호등
396,상당구,명암동,183o,박물관4,차량등,일반신호등
397,상당구,명암동,183o,박물관4,차량등,일반신호등
398,상당구,명암동,183o,박물관4,차량등,일반신호등
399,상당구,명암동,103-7도,박물관4,차량등,일반신호등
400,상당구,명암동,103-7도,박물관4,차량등,일반신호등
401,상당구,명암동,103-7도,박물관4,차량등,일반신호등
402,상당구,명암동,183-2o,박물관4,차량등,일반신호등
403,상당구,명암동,101-4도,박물관4,차량등,일반신호등
404,상당구,명암동,183-2o,박물관4,차량등,일반신호등
405,상당구,명암동,183-2o,박물관4,차량등,일반신호등
406,상당구,명암동,73-21답,박물관4,보행등,일반신호등
407,청원구,내덕동,716-12 도,로얄볼링장(단),차량등,일반신호등
408,청원구,내덕동,716-12 도,로얄볼링장(단),차량등,일반신호등
409,상당구,금천동,162-3 도,청남5,보행등,일반신호등
410,상당구,금천동,162-26 도,청남5,보행등,일반신호등
411,청원구,내덕동,849도,로얄볼링장(단),차량등,일반신호등
412,청원구,내덕동,716-12 도,로얄볼링장(단),차량등,일반신호등
413,청원구,내덕동,849도,로얄볼링장(단),보행등,일반신호등
414,청원구,내덕동,719-14도,시영아파트4,차량등,일반신호등
415,청원구,내덕동,719-14도,시영아파트4,차량등,일반신호등
416,청원구,내덕동,850도,시영아파트4,보행등,일반신호등
417,청원구,내덕동,719-14도,시영아파트4,보행등,일반신호등
418,청원구,내덕동,719-6도,시영아파트4,차량등,일반신호등
419,청원구,내덕동,719-14도,시영아파트4,보행등,일반신호등
420,청원구,내덕동,719-6도,시영아파트4,보행등,일반신호등
421,청원구,내덕동,719-6도,시영아파트4,차량등,일반신호등
422,청원구,주성동,313-1 도,,경보등,일반신호등
423,청원구,주중동,593 도,,경보등,일반신호등
424,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
425,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
426,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
427,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
428,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
429,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
430,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
431,청원구,주중동,500-12도,충북학생교육문화관3,차량등,일반신호등
432,청원구,우암동,1206도,택시공제조합4,차량등,일반신호등
433,청원구,우암동,1206도,택시공제조합4,차량등,일반신호등
434,청원구,우암동,1206도,택시공제조합4,차량등,일반신호등
435,청원구,우암동,1206도,택시공제조합4,차량등,일반신호등
436,청원구,우암동,1206도,택시공제조합4,차량등,일반신호등
437,청원구,우암동,1206도,택시공제조합4,보행등,일반신호등
438,청원구,우암동,1206도,택시공제조합4,보행등,일반신호등
439,청원구,우암동,1206도,우암치안센터3,보행등,안전신호등
440,청원구,우암동,1206도,우암치안센터3,차량등,안전신호등
