교차로명,통행량8,통행량13,통행량18,좌회전8,좌회전13,좌회전18,위도,경도,사고건수,DEATH건 수,SWPSN건 수,SINJPSN건수,INJPSN건수,DEATH자 수,SWPSN자 수,SINJPSN자 수,INJPSN자 수,교차로 반경 50m 내 무인교통단속카메라 수,교차로 반경 50m 내 신호등 수,교차로 반경 50m 내 신호등 유무
내덕4,3936,2879,3742,0.270579268,0.242097951,0.245590593,36.657255,127.48829,11,0,5,6,0,0,5,11,0,0,8,1
남이외천3,3178,2497,3016,0.160478288,0.117340809,0.139920424,36.55731,127.43162,1,0,0,1,0,0,0,2,0,1,0,0
남이초교3,2688,2242,2772,0.0625,0.028991971,0.093434343,36.575441,127.454423,3,0,0,2,1,0,0,3,1,1,2,1
사천교4,3418,2689,3323,0.110590989,0.112309409,0.110442371,36.665246,127.486623,6,0,0,6,0,0,0,7,0,0,2,1
산남4,5211,3711,5196,0.184033775,0.182161143,0.197459584,36.6155481,127.468843,7,0,3,5,0,0,4,7,0,0,5,1
분평4,6942,5231,7055,0.213915298,0.219460906,0.213607371,36.6070494,127.4795922,0,0,0,0,0,0,0,0,0,0,0,0
사창4,6625,5525,6278,0.187471698,0.175022624,0.190028672,36.634887,127.460178,27,0,7,24,0,0,9,36,0,3,0,0
봉명4,6835,5621,6236,0.223116313,0.207080591,0.230115459,36.643023,127.462426,5,0,2,4,0,0,2,4,0,2,0,0
북의옥수3,4102,2415,3501,0.103364213,0.120910973,0.13339046,36.771946,127.564689,0,0,0,0,0,0,0,0,0,0,0,0
문의IC3,1305,1168,1308,0.039846743,0.079623288,0.061926606,36.526109,127.502251,2,0,0,2,0,0,0,2,0,0,0,0
방서4,5914,4807,6039,0.230639161,0.232161431,0.236628581,36.606125,127.500912,5,0,1,4,0,0,1,8,0,1,1,1
선관위4,3960,3667,4611,0.160858586,0.158985547,0.160052049,36.631216,127.426506,6,0,1,4,1,0,1,7,1,0,0,0
성모병원4,4513,3336,4860,0.160425438,0.159472422,0.144650206,36.671522,127.483253,9,0,0,9,0,0,0,14,0,1,6,1
석교4,2777,2425,2662,0.307526107,0.263917526,0.261833208,36.628269,127.491405,11,0,3,8,0,0,3,15,0,0,0,0
석판분기점4,2160,1342,2333,0.280555556,0.263785395,0.300471496,36.6028,127.44037,2,0,1,2,0,0,1,4,0,0,0,0
서문교하상도로3,1827,962,1848,0.17515052,0.231808732,0.286255411,36.636148,127.484193,2,0,1,2,0,0,1,6,0,0,6,1
서청주교4,6843,6016,6742,0.302206635,0.243351064,0.221299318,36.64647,127.422813,12,0,2,10,0,0,2,16,0,0,3,1
산업단지6,4152,3256,4079,0.152456647,0.155712531,0.201274822,36.63429,127.447422,12,0,2,10,0,0,2,13,0,1,3,1
상당4,3766,3305,3687,0.200212427,0.196066566,0.197721725,36.637231,127.49029,7,0,2,4,1,0,4,6,1,0,12,1
