교차로명,시간,차종,1,2,3,4,5,6,7,8,9,10,11,12,위도,경도
옥산교4,13:00,대형,21,0,36,35,80,7,64,13,26,11,2,31,36.657097,127.385064
옥산교4,13:00,소형,209,6,203,91,360,61,254,89,110,33,25,65,36.657097,127.385064
옥산교4,13:00,PCU,251,6,275,161,520,75,382,115,162,55,29,127,36.657097,127.385064
옥산교4,18:00,대형,26,0,12,23,30,2,21,5,21,0,0,9,36.657097,127.385064
옥산교4,18:00,소형,415,45,467,199,353,7,279,130,364,33,7,46,36.657097,127.385064
옥산교4,18:00,PCU,467,45,491,245,413,11,321,140,406,33,7,64,36.657097,127.385064
청주대교동편4,8:00,대형,10,4,4,3,87,4,84,1,1,4,4,0,36.636723,127.484635
청주대교동편4,8:00,소형,372,140,127,154,735,350,797,81,84,77,70,32,36.636723,127.484635
청주대교동편4,8:00,PCU,392,148,135,160,909,358,965,83,86,85,78,32,36.636723,127.484635
청주대교동편4,13:00,대형,4,1,3,0,61,0,90,0,0,0,2,1,36.636723,127.484635
청주대교동편4,13:00,소형,256,251,169,117,661,156,608,113,145,66,60,47,36.636723,127.484635
청주대교동편4,13:00,PCU,264,253,175,117,783,156,788,113,145,66,64,49,36.636723,127.484635
청주대교동편4,18:00,대형,10,0,13,1,70,2,92,1,0,0,0,5,36.636723,127.484635
청주대교동편4,18:00,소형,339,325,244,228,752,178,876,200,124,112,114,66,36.636723,127.484635
청주대교동편4,18:00,PCU,359,325,270,230,892,182,1060,202,124,112,114,76,36.636723,127.484635
석교4,8:00,대형,26,0,40,24,3,41,4,5,1,37,1,30,36.628269,127.491405
석교4,8:00,소형,330,0,217,115,163,531,255,36,49,281,75,212,36.628269,127.491405
석교4,8:00,PCU,382,0,297,163,169,613,263,46,51,355,77,272,36.628269,127.491405
석교4,13:00,대형,32,0,22,22,4,45,14,5,1,39,0,26,36.628269,127.491405
석교4,13:00,소형,244,0,291,99,109,341,184,36,43,417,86,128,36.628269,127.491405
석교4,13:00,PCU,308,0,335,143,117,431,212,46,45,495,86,180,36.628269,127.491405
석교4,18:00,대형,38,0,43,23,3,46,5,4,0,41,2,27,36.628269,127.491405
석교4,18:00,소형,237,0,373,112,161,377,227,55,44,491,51,129,36.628269,127.491405
석교4,18:00,PCU,313,0,459,158,167,469,237,63,44,573,55,183,36.628269,127.491405
청남교4,8:00,대형,45,8,42,0,10,0,4,8,8,0,8,0,36.62597,127.489622
청남교4,8:00,소형,721,500,510,61,228,60,321,446,518,104,202,19,36.62597,127.489622
청남교4,8:00,PCU,811,516,594,61,248,60,329,462,534,104,218,19,36.62597,127.489622
청남교4,13:00,대형,42,11,40,0,10,0,0,10,3,0,7,0,36.62597,127.489622
청남교4,13:00,소형,455,234,476,29,268,62,247,258,287,102,174,17,36.62597,127.489622
청남교4,13:00,PCU,539,256,556,29,288,62,247,278,293,102,188,17,36.62597,127.489622
청남교4,18:00,대형,53,6,35,2,6,2,8,7,16,2,9,0,36.62597,127.489622
청남교4,18:00,소형,517,322,736,29,345,36,232,400,564,104,318,20,36.62597,127.489622
청남교4,18:00,PCU,623,334,806,33,357,40,248,414,596,108,336,20,36.62597,127.489622
제2운천교서편4,8:00,대형,2,0,0,4,52,3,59,2,4,2,2,12,36.65628,127.473221
제2운천교서편4,8:00,소형,136,30,71,119,1639,172,1462,132,92,105,75,425,36.65628,127.473221
제2운천교서편4,8:00,PCU,140,30,71,127,1743,178,1580,136,100,109,79,449,36.65628,127.473221
제2운천교서편4,13:00,대형,3,0,2,13,37,4,41,4,0,3,0,2,36.65628,127.473221
제2운천교서편4,13:00,소형,72,33,64,133,987,70,1182,92,54,105,56,183,36.65628,127.473221
