"행정구역(시군구)별",2017. 01,2017. 01,2017. 01,2017. 02,2017. 02,2017. 02,2017. 03,2017. 03,2017. 03,2017. 04,2017. 04,2017. 04,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 08,2017. 08,2017. 08,2017. 09,2017. 09,2017. 09,2017. 10,2017. 10,2017. 10,2017. 11,2017. 11,2017. 11,2017. 12,2017. 12,2017. 12,2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"옥천군",52188,26224,25964,52120,26205,25915,52056,26203,25853,51961,26163,25798,51846,26105,25741,51838,26090,25748,51838,26076,25762,51795,26059,25736,51755,26035,25720,51779,26025,25754,51771,26040,25731,51766,26049,25717,51806,26078,25728,51766,26065,25701,51737,26046,25691,51792,26076,25716,51757,26045,25712,51723,26012,25711,51679,26003,25676,51586,25983,25603,51547,25964,25583,51478,25929,25549,51452,25909,25543,51465,25911,25554
"영동군",50291,25087,25204,50152,25002,25150,50082,24944,25138,50397,25135,25262,50484,25153,25331,50486,25143,25343,50429,25100,25329,50388,25080,25308,50409,25065,25344,50318,25021,25297,50302,24996,25306,50240,24960,25280,50028,24844,25184,50042,24801,25241,50098,24850,25248,50067,24836,25231,50063,24854,25209,49929,24794,25135,49867,24759,25108,49751,24669,25082,49675,24634,25041,49653,24634,25019,49579,24610,24969,49715,24663,25052
"증평군",37417,19201,18216,37448,19232,18216,37452,19245,18207,37479,19257,18222,37531,19293,18238,37595,19332,18263,37627,19336,18291,37690,19370,18320,37719,19390,18329,37772,19427,18345,37787,19436,18351,37783,19446,18337,37753,19448,18305,37743,19444,18299,37724,19446,18278,37750,19466,18284,37733,19478,18255,37730,19490,18240,37739,19485,18254,37719,19470,18249,37680,19467,18213,37624,19425,18199,37476,19334,18142,37317,19229,18088
"진천군",70198,36520,33678,70464,36642,33822,70678,36759,33919,70698,36785,33913,70912,36898,34014,71866,37393,34473,72550,37730,34820,73039,37969,35070,73266,38076,35190,73370,38135,35235,73520,38247,35273,73677,38314,35363,73756,38361,35395,74239,38614,35625,74752,38926,35826,75238,39209,36029,75623,39432,36191,75848,39572,36276,76299,39824,36475,76887,40172,36715,77056,40257,36799,77479,40449,37030,77674,40557,37117,78218,40839,37379
"괴산군",38668,19631,19037,38520,19564,18956,38481,19552,18929,38425,19524,18901,38324,19454,18870,38282,19437,18845,38250,19419,18831,38164,19361,18803,38136,19365,18771,38083,19349,18734,38594,19644,18950,39054,19855,19199,38765,19688,19077,38631,19621,19010,38542,19558,18984,38500,19539,18961,38443,19510,18933,38329,19469,18860,38245,19431,18814,38159,19397,18762,38050,19320,18730,38022,19308,18714,38316,19474,18842,39133,19924,19209
"음성군",97741,51329,46412,97901,51446,46455,97861,51446,46415,97909,51470,46439,97822,51447,46375,97304,51158,46146,97074,51057,46017,97082,51035,46047,97219,51092,46127,97250,51103,46147,97319,51145,46174,97306,51156,46150,97416,51234,46182,97356,51215,46141,97111,51129,45982,96913,51049,45864,96932,51073,45859,96885,51047,45838,96912,51076,45836,96655,50944,45711,96538,50866,45672,96317,50758,45559,96132,50697,45435,95830,50546,45284
"단양군",30440,15327,15113,30417,15322,15095,30422,15313,15109,30425,15314,15111,30443,15323,15120,30409,15318,15091,30395,15323,15072,30392,15331,15061,30380,15303,15077,30343,15278,15065,30299,15261,15038,30215,15198,15017,30130,15160,14970,30133,15154,14979,30211,15183,15028,30273,15226,15047,30283,15241,15042,30282,15232,15050,30296,15246,15050,30351,15276,15075,30366,15289,15077,30333,15287,15046,30318,15276,15042,30255,15237,15018
"충청남도",2097406,1065288,1032118,2099924,1066697,1033227,2102327,1068132,1034195,2104463,1069348,1035115,2105959,1070198,1035761,2107562,1071202,1036360,2109230,1072094,1037136,2111419,1073294,1038125,2113033,1074196,1038837,2114284,1074987,1039297,2115586,1075610,1039976,2116770,1076270,1040500,2117685,1076905,1040780,2118099,1077315,1040784,2119468,1078219,1041249,2120666,1078780,1041886,2121618,1079334,1042284,2122220,1079667,1042553,2122531,1079820,1042711,2123368,1080268,1043100,2123776,1080494,1043282,2124524,1080957,1043567,2125409,1081439,1043970,2126282,1082009,1044273
"당진시",166782,87480,79302,166823,87536,79287,166987,87661,79326,167062,87704,79358,167133,87724,79409,167307,87882,79425,167318,87897,79421,167404,87965,79439,167461,87994,79467,167555,88065,79490,167505,88034,79471,167439,88026,79413,167375,88027,79348,167277,88060,79217,167331,88095,79236,167540,88217,79323,167598,88234,79364,167621,88276,79345,167748,88326,79422,167842,88427,79415,167762,88391,79371,167810,88422,79388,167819,88429,79390,167770,88423,79347
"천안시",619286,314873,304413,621714,316125,305589,623034,316834,306200,624053,317467,306586,625005,317972,307033,625721,318356,307365,626419,318653,307766,628097,319545,308552,629081,320065,309016,629852,320576,309276,630667,320996,309671,631531,321435,310096,633391,322399,310992,635201,323323,311878,636751,324229,312522,637908,324839,313069,639199,325554,313645,640291,326115,314176,641278,326646,314632,642586,327284,315302,643385,327700,315685,644577,328317,316260,645419,328753,316666,646075,329079,316996
