교차로명,cctv,sign,speed,peek_speed,car,bus,truck,type,school,roundabout,accident,위도,경도
청주역분기점4,0,1,54.63,49.67,8762,294,2700,4지,0,0,4,36.646597,127.393526
충북교육과학연구원4,0,1,30.34,20.74,11048,129,1951,4지,0,0,5,36.637413,127.492161
충북학생교육문화원4,0,1,35.49,15.67,9695,106,1584,4지,0,0,5,36.682957,127.482354
태산그린아파트4,0,0,60.25,40.22,7314,169,1698,4지,1,0,9,36.6132,127.510297
터미널4,0,1,31.35,20.71,9366,103,1568,4지,0,0,10,36.628709,127.428424
하이닉스반도체4,0,1,30.34,20.74,11048,129,1951,4지,0,0,6,36.653656,127.435323
현도면사무소3,2,0,59.81,41.72,14514,578,5547,3지,0,0,3,36.486378,127.423642
효촌분기점3,0,0,31.9,21.88,7600,63,947,3지,0,0,0,36.585801,127.508794
흥덕4,0,0,56.61,34.43,9589,202,2558,4지,0,0,8,36.645295,127.478596
옥산금정빌라앞회전교차로,0,0,58.22,45.52,13088,470,4643,3지,0,1,0,36.585145,127.3161
오송서평회전교차로,0,0,35.29,15.31,14712,222,3193,5지,0,1,1,36.661041,127.3688
문의파출소앞회전교차로,0,0,68.43,48.77,16520,641,6404,4지,0,1,0,36.513483,127.4979
내덕회전교차로,0,0,38.63,18.98,6110,87,1130,4지,0,1,4,36.657287,127.4848
북이회전교차로,0,0,35.49,15.67,10146,142,2067,4지,0,1,0,36.738338,127.5415
상당산성회전교차로,0,0,61.59,27.01,13487,373,4467,4지,0,1,1,36.653992,127.5418
가덕상야한계회전교차로,0,0,58.72,49.65,1587,36,419,3지,0,1,0,36.594886,127.5649
남이팔봉삼거리회전교차로,0,0,29.6,19.05,9683,110,1618,3지,0,1,0,36.567101,127.4091
오송쌍청교삼거리회전교차로,0,0,35.29,15.31,14712,222,3193,3지,0,1,2,36.639975,127.3
