"","교차로명","cctv","sign","speed","peek_speed","car","bus","truck","type","school","roundabout","accident","person","위도","경도","boxcox_peek_speed"
"52","제2운천교통편5",0,"1",56.61,34.43,9589,202,2558,"5지","1","0",3,9,36.65628,127.473221,0.68808866557705
"53","주성4",0,"1",35.49,15.67,9695,106,1584,"4지","1","0",2,3,36.675658,127.496401,0.679258497477384
"54","죽림4",0,"1",59.68,35,11359,502,4095,"4지","1","0",9,3,36.6127788,127.4403712,0.688186400160276
"55","죽림교4",0,"0",59.68,35,11359,502,4095,"4지","0","0",5,17,36.615924,127.444252,0.688186400160276
"56","증평나들목4",0,"0",34.97,14.43,10483,149,2266,"4지","0","0",0,9,36.77162,127.502093,0.677614455785303
"57","지북4",1,"1",42.81,18.65,3659,62,801,"4지","0","0",6,0,36.597354,127.505572,0.6821491292592
"58","청남교4",0,"1",54.63,49.67,13487,373,4467,"4지","0","0",9,7,36.62597,127.489622,0.689802494567836
"59","청원나들목4",0,"0",29.6,19.05,9683,110,1618,"4지","0","0",0,11,36.533659,127.426389,0.682454318484109
"60","청주대교동편4",0,"1",31.66,19.26,6753,71,1066,"4지","0","0",6,0,36.636723,127.484635,0.682608359984589
"61","청주역분기점4",0,"1",54.63,49.67,8762,294,2700,"4지","0","0",4,10,36.646597,127.393526,0.689802494567836
"62","충북교육과학연구원4",0,"1",30.34,20.74,11048,129,1951,"4지","0","0",5,5,36.637413,127.492161,0.683587098833996
"63","충북학생교육문화원4",0,"1",35.49,15.67,9695,106,1584,"4지","0","0",5,6,36.682957,127.482354,0.679258497477384
"64","태산그린아파트4",0,"0",60.25,40.22,7314,169,1698,"4지","1","0",9,17,36.6132,127.510297,0.688927213521319
"65","터미널4",0,"1",31.35,20.71,9366,103,1568,"4지","0","0",10,25,36.628709,127.428424,0.683568948362789
"66","하이닉스반도체4",0,"1",30.34,20.74,11048,129,1951,"4지","0","0",6,20,36.653656,127.435323,0.683587098833996
"67","현도면사무소3",2,"0",59.81,41.72,14514,578,5547,"3지","0","0",3,10,36.486378,127.423642,0.689098824714667
"68","효촌분기점3",0,"0",31.9,21.88,7600,63,947,"3지","0","0",0,3,36.585801,127.508794,0.684232092548676
"69","흥덕4",0,"0",56.61,34.43,9589,202,2558,"4지","0","0",8,0,36.645295,127.478596,0.68808866557705
"70","옥산금정빌라앞회전교차로",0,"0",58.22,45.52,13088,470,4643,"3지","0","1",0,12,36.585145,127.3161,0.689472635057802
"71","오송서평회전교차로",0,"0",35.29,15.31,14712,222,3193,"5지","0","1",0,0,36.661041,127.3688,0.678814636079128
"72","문의파출소앞회전교차로",0,"0",68.43,48.77,16520,641,6404,"4지","0","1",0,0,36.513483,127.4979,0.68973676320843
"73","내덕회전교차로",0,"0",38.63,18.98,6110,87,1130,"4지","0","1",3,6,36.657287,127.4848,0.68240204419428
"74","북이회전교차로",0,"0",35.49,15.67,10146,142,2067,"4지","0","1",0,0,36.738338,127.5415,0.679258497477384
"75","상당산성회전교차로",0,"0",61.59,27.01,13487,373,4467,"4지","0","1",1,1,36.653992,127.5418,0.68633765926124
"76","가덕상야한계회전교차로",0,"0",58.72,49.65,1587,36,419,"3지","0","1",0,0,36.594886,127.5649,0.689801065474014
"77","남이팔봉삼거리회전교차로",0,"0",29.6,19.05,9683,110,1618,"3지","0","1",0,0,36.567101,127.4091,0.682454318484109
"78","오송쌍청교삼거리회전교차로",0,"0",35.29,15.31,14712,222,3193,"3지","0","1",0,0,36.639975,127.3,0.678814636079128
